Issue_CIM,Issue_Audit
I-000-TH-2015-297, 2/2015
I-000-TH-2015-298, 4/2015
I-000-TH-2015-411, 5/2015
I-000-TH-2015-299, 6/2015
I-000-TH-2016-297,23/2016
I-000-TH-2016-181,24/2016
I-000-TH-2016-546,27/2016
I-000-TH-2016-547,28/2016
I-000-TH-2016-1815,36/2016
I-000-TH-2016-585,37/2016
I-000-TH-2016-586,38/2016
I-000-TH-2016-587,40/2016
I-000-TH-2015-412,42/2015
I-000-TH-2016-588,42/2016
I-000-TH-2015-413,43/2015
I-000-TH-2016-589,43/2016
I-000-TH-2015-414,44/2015
I-000-TH-2016-590,44/2016
I-000-TH-2016-591,45/2016
I-000-TH-2016-592,46/2016
I-000-TH-2017-979,48/2017
I-000-TH-2017-1369,49/2017
I-000-TH-2017-1370,50/2017
I-000-TH-2017-1393,51/2017
I-000-TH-2017-1414,52/2017
I-000-TH-2017-1428,52/2017
I-000-TH-2017-1430,53/2017
I-000-TH-2017-1439,54/2017
I-000-TH-2016-593,55/2016
I-000-TH-2017-1738,55/2017
I-000-TH-2016-626,60/2016
I-000-TH-2016-640,62/2016
I-000-TH-2016-629,65/2016
I-000-TH-2017-1692,65/2017
I-000-TH-2015-415,66/2015
I-000-TH-2016-642,66/2016
I-000-TH-2017-1694,66/2017
I-000-TH-2015-416,67/2015
I-000-TH-2017-1695,67/2017
I-000-TH-2015-417,68/2015
I-000-TH-2017-1697,68/2017
I-000-TH-2017-1698,69/2017
I-000-TH-2016-630,73/2016
I-000-TH-2016-631,74/2016
I-000-TH-2015-418,79/2015
I-000-TH-2017-1622,80/2017
I-000-TH-2015-300,81/2015
I-000-TH-2017-1664,81/2017
I-000-TH-2015-419,84/2015
I-000-TH-2016-826,87/2016
I-000-TH-2016-827,88/2016
I-000-TH-2016-829,92/2016
I-000-TH-2016-1225,93/2016
I-000-TH-2016-1226,94/2016
I-000-TH-2016-1227,95/2016
I-000-TH-2016-1228,96/2016
I-000-TH-2016-1219,087/2016
I-000-TH-2016-1221,092/2016
I-000-TH-2015-420,108/2015
I-000-TH-2015-421,112/2015
I-000-TH-2015-422,113/2015
I-000-TH-2015-301,114/2015
I-000-TH-2015-302,115/2015
I-000-TH-2015-423,116/2015
I-000-TH-2015-424,117/2015
I-000-TH-2015-425,118/2015
I-000-TH-2015-426,119/2015
I-000-TH-2015-427,126/2015
I-000-TH-2016-1195,126/2016
I-000-TH-2015-428,127/2015
I-000-TH-2016-1197,127/2016
I-000-TH-2015-303,134/2015
I-000-TH-2015-304,148/2015
I-000-TH-2015-305,150/2015
I-000-TH-2015-314,151/2015
I-000-TH-2015-315,152/2015
I-000-TH-2015-316,155/2015
I-000-TH-2015-317,156/2015
I-000-TH-2015-318,157/2015
I-000-TH-2015-319,158/2015
I-000-TH-2015-320,159/2015
I-000-TH-2015-321,160/2015
I-000-TH-2015-322,161/2015
I-000-TH-2016-1386,162/2016
I-000-TH-2016-1407,166/2016
I-000-TH-2016-1408,171/2016
I-000-TH-2016-1409,177/2016
I-000-TH-2016-1387,178/2016
I-000-TH-2016-1218,180/2016
I-000-TH-2016-1692,187/2016
I-000-TH-2016-1693,188/2016
I-000-TH-2016-1694,189/2016
I-000-TH-2017-1433,200/2016
I-000-TH-2017-73,201/2016
I-000-TH-2017-260,205/2016
I-000-TH-2015-429,210/2015
I-000-TH-2016-2156,211/2016
I-000-TH-2015-430,214/2015
I-000-TH-2015-306,215/2015
I-000-TH-2015-307,216/2015
I-000-TH-2015-308,219/2015
I-000-TH-2015-309,227/2015
I-000-TH-2015-310,228/2015
I-000-TH-2015-312,239/2015
I-000-TH-2017-1411,251/2016
I-000-TH-2017-1412,252/2016
I-000-TH-2017-19,262/2016
I-000-TH-2017-20,265/2016
I-000-TH-2015-313,266/2015
I-000-TH-2017-1441,276/2015
I-000-TH-2017-1410,277/2015
I-000-TH-2016-2643,278/2016
I-000-TH-2017-1442,280/2015
I-000-TH-2017-69,301/2016
I-000-TH-2017-72,302/2016
I-000-TH-2017-74,304/2016
I-000-TH-2017-75,305/2016
I-000-TH-2016-50,318/2015
I-000-TH-2016-50,318/2015
I-000-TH-2016-65,319/2015
I-000-TH-2016-66,321/2015
I-000-TH-2016-67,322/2015
I-000-TH-2016-68,323/2015
I-000-TH-2016-69,324/2015
I-000-TH-2017-83,327/2016
I-000-TH-2016-174,340/2015
I-000-TH-2016-175,341/2015
I-000-TH-2016-70,350/2015
I-000-TH-2016-72,352/2015
I-000-TH-2016-72,352/2015
I-000-TH-2016-71,355/2015
I-000-TH-2016-73,356/2015
I-000-TH-2015-284,610/2012
I-000-TH-2015-285,710/2013
I-000-TH-2015-286,711/2013
I-000-TH-2015-287,898/2014
I-000-TH-2015-288,899/2014
I-000-TH-2015-289,900/2014
I-000-TH-2015-386,907/2014
I-000-TH-2015-387,923/2013
I-000-TH-2015-388,987/2014
I-000-TH-2015-390,1016/2014
I-000-TH-2015-391,1017/2014
I-000-TH-2015-392,1018/2014
I-000-TH-2015-393,1019/2014
I-000-TH-2015-396,1026/2014
I-000-TH-2015-397,1056/2014
I-000-TH-2015-398,1057/2014
I-000-TH-2015-399,1058/2014
I-000-TH-2015-400,1060/2014
I-000-TH-2015-846,1099/2014
I-000-TH-2015-846,1099/2014
I-000-TH-2015-846,1099/2014
I-000-TH-2015-846,1099/2014
I-000-TH-2015-846,1099/2014
I-000-TH-2016-2069,1100/2014
I-000-TH-2015-401,1102/2014
I-000-TH-2015-402,1130/2013
I-000-TH-2015-403,1140/2014
I-000-TH-2015-404,1143/2014
I-000-TH-2015-405,1144/2014
I-000-TH-2015-406,1190/2014
I-000-TH-2015-407,1191/2014
I-000-TH-2015-408,1192/2014
I-000-TH-2015-409,1193/2014
I-000-TH-2015-410,1198/2014
I-000-TH-2016-1220,088/2016
I-000-TH-2016-2155,182/2016
I-000-TH-2017-68,221/2016
I-000-TH-2017-17,260/2016
I-000-TH-2017-18,261/2016
I-000-TH-2017-70,303/2016
I-000-TH-2017-2200,306/2016
I-000-TH-2017-2201,307/2016
I-000-TH-2017-2202,97/2016
I-000-TH-2017-2203,82/2017
I-000-TH-2017-2204,83/2017
I-000-TH-2017-2205,84/2017
I-000-TH-2017-2206,92/2017
I-000-TH-2017-2207,93/2017
I-000-TH-2017-2209,95/2017
I-000-TH-2017-2210,96/2017
I-000-TH-2017-2332,95/2017
I-000-TH-2017-2333,96/2017
I-000-TH-2017-2334,82/2017
I-000-TH-2017-2335,83/2017
I-000-TH-2017-2336,84/2017
I-000-TH-2017-2337,92/2017
I-000-TH-2017-2338,93/2017
I-000-TH-2017-3019,118/2017
I-000-TH-2017-3020,119/2017
I-000-TH-2017-3039,277/2015
I-000-TH-2017-3123,130/2017
I-000-TH-2017-2208,94/2017
I-000-TH-2017-3554,146/2017
I-000-TH-2017-3666,150/2017
I-000-TH-2017-3017,111/2017
I-000-TH-2017-3524,137/2017
I-000-TH-2017-3536,147/2017
I-000-TH-2017-3537,148/2017
I-000-TH-2017-3538,149/2017
I-000-TH-2017-3538,149/2017
I-000-TH-2017-3668,151/2017
I-000-TH-2017-4638,170/2017
I-000-TH-2017-4640,171/2017
I-000-TH-2017-4641,172/2017
I-000-TH-2017-4642,173/2017
I-000-TH-2017-4643,180/2017
I-000-TH-2017-4644,181/2017
I-000-TH-2018-99,1140/2014
